food,split,method,trials,success_rate,spill_rate,mean_action_distance,trajectory_rmse_from_baseline
soft_jelly,test,baseline_grits,30,0.5,0.4,0.19518893411256702,0.0
soft_jelly,test,random_bias,30,0.36666666666666664,0.5333333333333333,0.3342168607951211,0.13043498303782272
soft_jelly,test,llm_decision_only,30,0.7,0.3,0.11523631809732104,0.059136210465284465
soft_jelly,test,llm_bias,30,0.8,0.23333333333333334,0.04756287912097184,0.0815808331336459
soft_jelly,test,human_upper_bound,30,0.8666666666666667,0.13333333333333333,0.0,0.09759446705628351
rice_ball,test,baseline_grits,30,0.8,0.36666666666666664,0.08520422524734321,0.0
rice_ball,test,random_bias,30,0.6333333333333333,0.26666666666666666,0.2514169324069622,0.11980341002085644
rice_ball,test,llm_decision_only,30,0.6,0.36666666666666664,0.10604559506903559,0.028539619595983064
rice_ball,test,llm_bias,30,0.7333333333333333,0.2,0.04013646702237123,0.04110983092841367
rice_ball,test,human_upper_bound,30,0.8333333333333334,0.2,0.0,0.042602112623671605
glass_candy,test,baseline_grits,30,0.6333333333333333,0.3,0.23746646078972916,0.0
glass_candy,test,random_bias,30,0.36666666666666664,0.5,0.3433663124025303,0.10984480114824417
glass_candy,test,llm_decision_only,30,0.4666666666666667,0.3,0.2448597821283656,0.03440517328661063
glass_candy,test,llm_bias,30,0.6666666666666666,0.3333333333333333,0.05127289149490125,0.09768452102647399
glass_candy,test,human_upper_bound,30,0.7666666666666667,0.43333333333333335,0.0,0.11873323039486458
sticky_cube,test,baseline_grits,30,0.7,0.1,0.18731161202659063,0.0
sticky_cube,test,random_bias,30,0.36666666666666664,0.3,0.3001947467323119,0.12576271937063768
sticky_cube,test,llm_decision_only,30,0.5333333333333333,0.26666666666666666,0.21602464421200998,0.03998292591423954
sticky_cube,test,llm_bias,30,0.7,0.23333333333333334,0.05689760364136356,0.07251361531571504
sticky_cube,test,human_upper_bound,30,0.9,0.1,0.0,0.09365580601329532
hollow_pasta,test,baseline_grits,30,0.43333333333333335,0.4666666666666667,0.2151030450737506,0.0
hollow_pasta,test,random_bias,30,0.4,0.4,0.3316326471311328,0.11984452096197687
hollow_pasta,test,llm_decision_only,30,0.5666666666666667,0.36666666666666664,0.22511357891156641,0.018167343443879345
hollow_pasta,test,llm_bias,30,0.7,0.3333333333333333,0.04886508936031441,0.09145116887570154
hollow_pasta,test,human_upper_bound,30,0.8,0.2,0.0,0.1075515225368753
crumbly_cookie,test,baseline_grits,30,0.6,0.4666666666666667,0.1876321933997468,0.0
crumbly_cookie,test,random_bias,30,0.6666666666666666,0.3333333333333333,0.2958309118631787,0.11660904125837387
crumbly_cookie,test,llm_decision_only,30,0.6,0.3333333333333333,0.11868363370982335,0.05312295830273244
crumbly_cookie,test,llm_bias,30,0.9,0.16666666666666666,0.05379336350518622,0.07387287285373884
crumbly_cookie,test,human_upper_bound,30,0.7666666666666667,0.16666666666666666,0.0,0.0938160966998734
slippery_pearl,test,baseline_grits,30,0.6666666666666666,0.3,0.19101340267112146,0.0
slippery_pearl,test,random_bias,30,0.4666666666666667,0.43333333333333335,0.27427895701203464,0.11469043281160672
slippery_pearl,test,llm_decision_only,30,0.6333333333333333,0.3333333333333333,0.19737999448185636,0.013527440489299849
slippery_pearl,test,llm_bias,30,0.8666666666666667,0.2,0.03894847873510734,0.08402873930802082
slippery_pearl,test,human_upper_bound,30,0.9333333333333333,0.1,0.0,0.09550670133556073
dense_bean,test,baseline_grits,30,0.5,0.36666666666666664,0.21098663464778983,0.0
dense_bean,test,random_bias,30,0.43333333333333335,0.26666666666666666,0.31266961469131904,0.12134491860095394
dense_bean,test,llm_decision_only,30,0.5,0.23333333333333334,0.22791847946786714,0.015136424712860946
dense_bean,test,llm_bias,30,0.8333333333333334,0.2,0.04733734664038636,0.08840992336621906
dense_bean,test,human_upper_bound,30,0.8666666666666667,0.2,0.0,0.10549331732389491
soft_fudge,test,baseline_grits,30,0.7333333333333333,0.2,0.144021248432306,0.0
soft_fudge,test,random_bias,30,0.36666666666666664,0.3333333333333333,0.3040413864080207,0.128479810572797
soft_fudge,test,llm_decision_only,30,0.7333333333333333,0.26666666666666666,0.1456540492576588,0.04720352092486678
soft_fudge,test,llm_bias,30,0.8,0.2,0.040924186425739695,0.06063686159125772
soft_fudge,test,human_upper_bound,30,0.8333333333333334,0.3333333333333333,0.0,0.072010624216153
hard_ring,test,baseline_grits,30,0.43333333333333335,0.36666666666666664,0.2954887476707023,0.0
hard_ring,test,random_bias,30,0.3,0.5333333333333333,0.3788327245868255,0.1223438868815712
hard_ring,test,llm_decision_only,30,0.43333333333333335,0.4,0.3050644386811842,0.013642532444400082
hard_ring,test,llm_bias,30,0.8333333333333334,0.2,0.06744052796810143,0.1181106322813092
hard_ring,test,human_upper_bound,30,0.8,0.13333333333333333,0.0,0.14774437383535116
marshmallow,real,baseline_grits,5,0.4,0.4,0.17074542453606187,0.0
marshmallow,real,random_bias,5,0.6,0.4,0.3109249702436025,0.13540813029283535
marshmallow,real,llm_decision_only,5,0.6,0.4,0.09576077053376497,0.05300287575327974
marshmallow,real,llm_bias,5,0.8,0.2,0.035001720324755216,0.076255499378262
marshmallow,real,human_upper_bound,5,0.8,0.4,0.0,0.08537271226803093
prune,real,baseline_grits,5,1.0,0.0,0.13583077707206118,0.0
prune,real,random_bias,5,0.2,0.4,0.29790040324728384,0.12040486924600266
prune,real,llm_decision_only,5,0.6,0.2,0.1469861034374517,0.04475677750491354
prune,real,llm_bias,5,1.0,0.0,0.05335555473020215,0.05846661853398587
prune,real,human_upper_bound,5,1.0,0.2,0.0,0.06791538853603059
milk_tea,real,baseline_grits,5,0.4,0.2,0.14434680460612903,0.0
milk_tea,real,random_bias,5,0.0,0.2,0.2777116575471546,0.12765472377930026
milk_tea,real,llm_decision_only,5,0.6,0.2,0.15539954358803992,0.006006979519883058
milk_tea,real,llm_bias,5,1.0,0.2,0.06261027600127038,0.0473954773957032
milk_tea,real,human_upper_bound,5,1.0,0.0,0.0,0.07217340230306452
nuts,real,baseline_grits,5,0.6,0.4,0.278655701538655,0.0
nuts,real,random_bias,5,0.2,0.6,0.3525889710333774,0.11850925517318397
nuts,real,llm_decision_only,5,0.2,0.4,0.29074565406478464,0.014458182765478006
nuts,real,llm_bias,5,0.6,0.2,0.06414443821098263,0.11100074808000708
nuts,real,human_upper_bound,5,1.0,0.2,0.0,0.1393278507693275
ramen_snack,real,baseline_grits,5,0.6,0.4,0.17199418594824645,0.0
ramen_snack,real,random_bias,5,0.6,0.2,0.29459294351154863,0.10314201279073743
ramen_snack,real,llm_decision_only,5,0.6,0.4,0.13736236395459192,0.04507109798418626
ramen_snack,real,llm_bias,5,1.0,0.0,0.04244602734050097,0.07449913228532856
ramen_snack,real,human_upper_bound,5,0.8,0.6,0.0,0.08599709297412322
fudge,real,baseline_grits,5,1.0,0.0,0.13681008734738823,0.0
fudge,real,random_bias,5,0.8,0.2,0.21422590725531424,0.12531658795081718
fudge,real,llm_decision_only,5,0.6,0.2,0.14091675410041404,0.044658759433769304
fudge,real,llm_bias,5,0.6,0.6,0.04568652158366092,0.05846980817385191
fudge,real,human_upper_bound,5,1.0,0.2,0.0,0.06840504367369411
penne,real,baseline_grits,5,0.6,0.0,0.20171762441591462,0.0
penne,real,random_bias,5,0.4,0.4,0.3109339655235082,0.10541965593408527
penne,real,llm_decision_only,5,0.8,0.2,0.21609216093093003,0.016922064816450675
penne,real,llm_bias,5,0.6,0.2,0.041780053893032104,0.08695277544692617
penne,real,human_upper_bound,5,0.6,0.2,0.0,0.10085881220795731
sago,real,baseline_grits,5,0.8,0.0,0.12141251994749151,0.0
sago,real,random_bias,5,0.2,0.4,0.29436425165870295,0.12353799405849827
sago,real,llm_decision_only,5,0.4,0.6,0.13240497245290564,0.024878970926160725
sago,real,llm_bias,5,1.0,0.2,0.03389242134371574,0.05244304694916744
sago,real,human_upper_bound,5,1.0,0.0,0.0,0.060706259973745756
red_bean,real,baseline_grits,5,0.6,0.2,0.15546060594247016,0.0
red_bean,real,random_bias,5,0.4,0.2,0.32152985130331435,0.11679527928577371
red_bean,real,llm_decision_only,5,0.8,0.2,0.17442804716964133,0.016083628333893953
red_bean,real,llm_bias,5,0.8,0.0,0.041808062961006254,0.07249861667637915
red_bean,real,human_upper_bound,5,0.8,0.2,0.0,0.07773030297123508
mentos,real,baseline_grits,5,0.4,0.4,0.33280474756229067,0.0
mentos,real,random_bias,5,0.4,0.0,0.4549468585979602,0.14149709906101335
mentos,real,llm_decision_only,5,0.2,0.2,0.33915589731245005,0.007015972378510026
mentos,real,llm_bias,5,0.6,0.2,0.08263289295516588,0.12850807067565398
mentos,real,human_upper_bound,5,0.8,0.2,0.0,0.16640237378114534
